,CPU Name,Platform Name,Single-core Score,Multi-core Score
23387,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1660,3345
23388,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1438,3775
23389,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,817,3847
23390,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,798,2963
23391,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1762,4757
23392,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1722,3887
23393,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1387,3163
23394,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1810,5651
23395,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1606,3658
23396,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1649,3961
23397,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1752,3986
23398,AMD Ryzen 5 5500H 3301 MHz (4 cores),Windows,1684,5524
23399,Intel Core i7-1355U 2600 MHz (10 cores),Windows,2268,7712
23400,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2287,9290
23401,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2287,9508
23402,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2304,9562
23403,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2421,9623
23404,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2323,9823
23405,Intel Core i7-1360P 2200 MHz (12 cores),Windows,1512,9845
23406,Intel Core i7-1370P 1900 MHz (14 cores),Windows,2344,9683
23407,Intel Core i7-1370P 1900 MHz (14 cores),Windows,1655,9505
23408,Intel Core i7-1370P 1900 MHz (14 cores),Windows,2409,9480
23409,Intel Core i7-1370P 1900 MHz (14 cores),Windows,2601,9719
23410,Intel Core i7-1370P 2194 MHz (14 cores),Windows,2397,11065
23411,Intel Core i7-1370P 1900 MHz (14 cores),Windows,2545,11575
23412,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2439,10545
23413,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2259,9167
23414,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2244,9230
23415,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2460,10210
23416,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2469,10268
23417,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2462,10250
23418,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2230,9106
23419,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2470,8336
23420,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2218,8368
23421,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2106,8799
23422,Intel Core i7-1360P 2200 MHz (12 cores),Windows,1171,8208
23423,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2336,9996
23424,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2420,9088
23425,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2414,8173
23426,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2432,9109
23427,Intel Core i7-1360P 2200 MHz (12 cores),Windows,1309,4921
23428,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2357,9901
23429,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2172,9093
23430,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2182,8479
23431,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2155,8720
23432,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2106,8116
23433,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2510,10522
23434,Intel Core i7-1360P 2200 MHz (12 cores),Windows,1590,8620
23435,Intel Core i7-1360P 2200 MHz (12 cores),Windows,1557,8532
23436,Intel Core i7-1360P 2200 MHz (12 cores),Windows,2247,9210
23443,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,2000,7469
23444,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1967,7403
23445,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1987,7268
23446,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1939,7580
23447,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1942,6536
23448,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1884,5920
23449,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1950,7116
23450,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1616,6341
23451,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1927,7179
23452,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1895,7298
23453,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1971,7666
23454,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1981,7888
23455,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,937,4082
23456,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,790,3853
23457,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1983,7930
23458,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1972,7752
23459,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1691,6982
23460,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1994,7911
23461,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1983,7963
23462,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,746,3478
23463,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,846,3895
23464,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1977,7715
23465,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1989,7765
23466,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,830,3879
23467,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,829,3803
23468,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1990,7836
23469,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1870,6067
23470,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1991,7358
23471,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1955,7443
23472,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1989,7524
23473,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1962,7655
23474,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1991,7773
23475,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,859,3944
23476,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1985,7661
23477,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1980,7622
23478,AMD Ryzen 5 7530U 4546 MHz (6 cores),Linux,2042,7987
23479,AMD Ryzen 5 7530U 4546 MHz (6 cores),Linux,2043,8011
23480,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,944,4923
23481,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1994,7750
23482,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1998,7785
23483,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1232,5385
23484,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1922,7794
23485,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1985,7807
23486,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1879,6809
23487,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1912,6647
23488,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1822,6583
23489,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1914,7332
23490,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1889,7122
23491,AMD Ryzen 5 7530U 2000 MHz (6 cores),Windows,1875,6914
23492,Intel Core i9-13900T 1100 MHz (24 cores),Windows,2663,16716
23493,Intel Core i9-13900T 1097 MHz (24 cores),Windows,2823,18544
23494,Intel Core i9-13900T 1097 MHz (24 cores),Windows,2777,17828
23495,Intel Core i9-13900T 1097 MHz (24 cores),Windows,2838,18624
23496,Intel Core i9-13900T 1097 MHz (24 cores),Windows,2806,17814
23497,Intel Core i9-13900T 1097 MHz (24 cores),Windows,1435,11479
23498,Intel Core i9-13900T 1097 MHz (24 cores),Windows,1436,11547
23499,Intel Core i9-13900T 1097 MHz (24 cores),Windows,2815,17604
23500,Intel Core i9-13900T 1097 MHz (24 cores),Windows,2736,16615
23501,Intel Core i9-13900T 1097 MHz (24 cores),Windows,2843,17772
23502,Intel Core i9-13900E 1795 MHz (24 cores),Windows,2865,19824
23503,Intel Core i9-13900T 5100 MHz (24 cores),Linux,3022,15220
23504,Intel Core i9-13900T 5100 MHz (24 cores),Linux,3026,15058
23505,Intel Core i9-13900T 5100 MHz (24 cores),Linux,2978,12852
23506,Intel Core i9-13900T 1097 MHz (24 cores),Windows,2791,18123
23507,Intel Core i9-13900H 2992 MHz (10 cores),Windows,2691,11426
23508,Intel Core i9-13900H 2992 MHz (10 cores),Windows,2248,10632
23509,Intel Core i9-13900H 2992 MHz (10 cores),Windows,1281,5696
23510,Intel Core i9-13900H 2600 MHz (14 cores),Windows,2478,11325
23511,Intel Core i9-13900H 5200 MHz (14 cores),Linux,2048,10735
23512,Intel Core i9-13900F 1995 MHz (24 cores),Windows,2934,21180
23513,Intel Core i9-13900T 5100 MHz (24 cores),Linux,2966,15001
