,CPU Name,Platform Name,Single-core Score,Multi-core Score,quarry
18393,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1866,7959,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18394,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1848,7875,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18395,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1208,5266,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18396,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1878,7036,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18397,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1876,7073,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18398,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1884,7051,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18399,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1875,7053,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18400,AMD Ryzen 7 5800H 4463 MHz (8 cores),Linux,2027,7438,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18401,AMD Ryzen 7 5800H 4463 MHz (8 cores),Linux,2020,7411,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18402,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1901,7972,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18403,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1922,7950,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18404,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1732,8172,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
